codigo;nome
0;Profilaxia de eventos cardiovasculares
1;Fibrilação atrial
2;Diabetes mellitus
3;Profilaxia
4;Insuficiência cardíaca
5;Hipertensão
6;Esclerose múltipla
7;Produto utilizado para indicação desconhecida
8;Mielofibrose
11;Alopecia
12;Infecção pelo HIV
13;Câncer de próstata
14;Osteoporose
15;Lipoproteína de baixa densidade aumentada
16;Aumento do colesterol no sangue
18;Leucemia mieloide crônica
19;Asma
20;Diminuição da frequência respiratória
21;Neuropatia periférica
23;Dor
24;Diabetes mellitus tipo 2
25;Esquizofrenia
26;Infecção por Enterobacter
27;Úlcera gástrica
28;Extrassístoles ventriculares
29;Protrusão do disco intervertebral
32;Ptose palpebral
33;Diarreia
35;Tentativa de suicídio
36;Depressão
37;Psoríase
38;Hipotiroidismo
39;Dispepsia
40;Terapia antidepressiva
46;Incontinência urinária
47;Manutenção rotineira da saúde
48;Linfoma de células B
49;Distúrbio cardíaco
50;Hipercolesterolemia
51;Terapia analgésica
52;Câncer de mama
54;Alergias múltiplas
55;Doença do refluxo gastroesofágico
56;Dispneia
57;Neuralgia
58;Insónia
60;Disfagia
61;Flatulência
62;Pressão arterial anormal
63;Artroplastia articular
64;Artroplastia de joelho
65;Operação do joelho
66;Melanoma maligno metastático
67;Pré-medicação
68;Artroplastia de quadril
69;Síndrome hipereosinofílica
70;Esclerose múltipla remitente-recorrente
71;Artrite reumatoide
72;Doença renal
74;Melanoma maligno
75;Ansiedade
76;Herpes zoster
77;Artropatia psoriásica
80;Hipertensão arterial pulmonar
82;Profilaxia contra úlcera gastrointestinal
83;Artralgia
84;Doença autoimune
85;Doença pulmonar intersticial
86;Dermatomiosite
87;Insuficiência cardíaca congestiva
88;Constipação
90;Úlcera cutânea
91;Infecção pulmonar
93;Lúpus eritematoso sistêmico
94;Transtorno esquizoafetivo
95;Transtorno bipolar
96;Transtorno de estresse pós-traumático
99;Reação anafilática
100;Convulsão
101;Hipovitaminose
102;Epilepsia
103;Distúrbio gástrico
104;Densidade óssea diminuída
105;Distúrbio ósseo
106;Colesterol no sangue
107;Fibrose cística
109;Pneumonia
111;Pneumonia viral
114;Transtorno psicótico
118;Síndrome do túnel do carpo
121;Dislipidemia
123;Transtorno sinusal
124;Trombose venosa profunda
125;Trombose
126;Síndrome mielodisplásica
127;Infecção por rinovírus
129;Transplante renal
130;Doença pulmonar obstrutiva crônica
131;Inflamação
132;Mieloma de células plasmáticas
134;Arritmia
135;Dor nas costas
136;Olho seco
137;Glaucoma
138;Profilaxia de infecção
139;Metástases para osso
140;Suplementação mineral
141;Profilaxia da trombose
142;Profilaxia do acidente vascular cerebral
143;Espasmos musculares
144;Distúrbio do sono
146;Contagem de hemácias diminuída
147;Diminuição do ferro no sangue
148;Febre
149;Leucemia linfocítica aguda
151;Hiperglicemia
152;Edema cerebral
153;Neutropenia
155;Trombocitopenia
156;Profilaxia antiviral
158;Neoplasia maligna pulmonar
159;Medida da pressão arterial
160;Rejeição de transplante
162;Diverticulite
163;Hiperlipidemia
164;Miopatia
166;Uso off label
167;Doença ocular
169;Doença de Parkinson
172;Osteopenia
173;Osteoporose pós-menopausa
176;Disfunção erétil
178;Acidente vascular cerebral
181;Transtorno de déficit de atenção/hiperatividade
182;Comportamento anormal
185;Infeção
186;Síndrome de disfunção de múltiplos órgãos
187;Carcinoma de células renais metastático
188;Massa intestinal
189;Câncer de ovário
190;Dor abdominal
192;Afrontamento
193;Suores noturnos
194;Tumor neuroendócrino pancreático
197;Altura corporal abaixo do normal
198;Púrpura trombocitopênica imune
202;Carcinoma basocelular
203;Suplementação nutricional
204;Anemia
206;Hipertensão pulmonar
208;Convulsão tônico-clônica generalizada
209;Glicemia anormal
210;Hipersensibilidade
212;Doença hepática
213;Gastrite
215;Pielonefrite
217;Transtorno afetivo
218;Artrite
219;Câncer colorretal metastático
220;Câncer colorretal
221;Náusea
222;Tosse
223;Fibromialgia
224;Vertigem
225;Retenção de líquidos
227;Enxaqueca
229;Terapia anticoagulante
230;Distúrbio pulmonar
231;Tontura
233;Comprometimento da memória
234;Hipocalcemia
235;Função hepática anormal
236;Doença do enxerto contra o hospedeiro
237;Compromisso renal
238;Astenia
240;Distúrbio venoso
241;Distúrbio da tireoide
242;Dor de cabeça
244;O fenômeno de Raynaud
246;Osteoartrose
247;Linfoma não-Hodgkin
248;Leucopenia
249;Vómito
250;Profilaxia de náuseas e vômitos
252;Sono de má qualidade
253;Neoplasia
255;Mialgia
257;Doença de Crohn
258;Terapia sedativa
260;Desconforto abdominal
261;Depressão maior
264;Obstrução intestinal
265;Bronquite
266;Diabetes mellitus tipo 1
270;Infarto
271;Sobrecarga de ferro
272;Gota
273;Aumento do potássio no sangue
274;Cistite
275;Infarto cerebral
276;Síndrome da apneia do sono
279;Leucemia linfocítica crônica
280;Gripe
281;Sedação
282;Linfoma
284;Pressão arterial aumentada
286;Câncer de próstata metastático
287;Câncer de próstata refratário a hormônios
288;Edema
289;Câncer de próstata estádio IV
291;Distensão abdominal
292;Diminuição do apetite
293;Hemorragia digestiva alta
294;Delusão
296;Distúrbio da marcha
297;Mal-estar
298;Taquicardia
300;Tuberculose pulmonar
304;Dor na coluna
307;Agressão
308;Doença arterial coronariana
309;Doença renal terminal
311;Deficiência de vitamina D
313;Infecção urinária
317;Condropatia
323;Síndrome dolorosa complexa regional
324;Angina de peito
325;Gastroenterite
326;Calafrio
329;Hipocalemia
331;Carcinoma de células renais
332;Transtorno de ansiedade
333;Disfunção alimentar
334;Dor nas extremidades
335;Hipoestesia
337;Dor do procedimento
338;Transtorno da próstata
339;Câncer de pele
340;Dor no peito
341;Congestão sinusal
342;Linfoma de células do manto
343;Terapia de suplementação
344;Inchação
345;Chiado
346;Angiomiolipoma
347;Convulsões parciais
349;Distúrbio da coluna vertebral
350;Colite
352;Síndrome das pernas inquietas
353;Tumor estromal gastrointestinal
354;Dor musculoesquelética
355;Estomatite
357;Infecção relacionada ao dispositivo
358;Hipoglicemia
359;Distúrbio respiratório
361;Rinite alérgica
362;Carcinoma hepatocelular
365;Síndrome da articulação temporomandibular
366;Transtorno bipolar I
367;Prostatomegalia
368;Neuralgia do trigêmeo
370;Câncer de pulmão de células não pequenas
371;Infecção fúngica
372;Sépsis
373;Acidente vascular cerebral isquêmico
374;Urticária
378;Deficiência visual
380;Stress
382;Progressão da neoplasia
385;Hemorragia gastrointestinal
387;Cálcio no sangue diminuído
388;Distúrbio da bexiga
389;Magnésio no sangue diminuído
390;Colesterol no sangue anormal
392;Hemorragia
393;Abuso de drogas
395;Triglicerídeos sanguíneos aumentados
397;Anemia nefrogênica
399;Pressão arterial diminuída
401;Humor
402;Agitação
405;Isquemia miocárdica
406;Infarto do miocárdio
408;Câncer de ducto biliar
409;Câncer de vesícula biliar
410;Pneumonia por Pneumocystis jirovecii
411;Síndrome inflamatória da reconstituição imune
412;Infecção por citomegalovírus
417;Falência da medula óssea
419;Injeção articular
420;Suplementação vitamínica
422;Hemorragia cerebral
423;Aspiração de pneumonia
425;Polimiosite
426;Síndrome coronariana aguda
427;Transplante de células-tronco
431;Insuficiência adrenal
434;Dor abdominal superior
435;Infecção por Candida
437;Erupção
438;Ulceração da boca
440;Papiloma cutâneo
441;Leucemia mieloide aguda
442;Poliúria
443;Potássio no sangue diminuído
444;Metástases para pâncreas
445;Metástases para o rim
446;Metástases para pulmão
447;Câncer renal
448;Distúrbio da fala
450;Distúrbio vascular periférico
453;Variz
454;Distúrbio do equilíbrio
457;Tosse produtiva
458;Contusão
459;Pênfigo
460;Anemia ferropriva
462;Desconforto respiratório
463;Distúrbio extrapiramidal
464;Distúrbio do movimento
465;Discinesia tardia
466;Distúrbio capilar
467;Distúrbio ungueal
468;Doença de pele
469;Ciático
471;Linfoma de células B recorrente
475;Embolia pulmonar
476;Sinusite
478;Transtorno de Tourette
479;Esôfago de Barrett
481;Infecção viral do trato respiratório superior
485;Aumento da pressão intraocular
486;Distúrbio da motilidade gastrointestinal
488;Vitamina D diminuída
490;Arteriosclerose
492;Colocação de stent
493;Doença arterial obstrutiva periférica
495;Demência tipo Alzheimer
496;Cirrose hepática
497;Vertigem posicional
498;Hipotensão ortostática
499;Peso diminuído
502;Miastenia gravis
503;Tolerância a drogas
505;Colite ulcerativa
506;Fibrose pulmonar
509;Transfusão
512;Bexiga hipertônica
515;Frequência cardíaca irregular
516;Transtorno mental
518;Lesão nervosa
519;Síndrome do intestino irritável
521;Massa tireoidiana
522;Alucinação
523;Desconforto nos membros
524;Enfisema
525;Congestão do trato respiratório
528;Sobrecarga hídrica
533;Degeneração do disco intervertebral
535;Hepatite C crônica
536;Hepatite B crônica
537;Transtorno emocional
538;Parkinsonismo
539;Transtorno de pânico
540;Transtorno de ansiedade generalizada
541;Recidiva da esclerose múltipla
543;Distúrbio cardiovascular
545;Congestão nasal
546;Colite por Clostridium difficile
547;Terapia antiplaquetária
550;Transtorno obsessivo-compulsivo
551;Síndrome de Sjögren
552;Hepatite C
553;Dor pélvica
555;Queimação
556;Foliculite
557;Pancreatite crônica
558;Artropatia
560;Controle de peso
561;Hiperplasia prostática benigna
562;Câncer de cólon metastático
563;Dor óssea
567;Cardiomiopatia hipertrófica
568;Taquicardia ventricular
569;Sonolência
571;Edema periférico
572;Rigidez musculoesquelética
574;Aumento do antígeno específico da próstata
575;Disfunção sexual
577;Regime de condicionamento da medula óssea
578;Profilaxia contra doença do enxerto contra o hospedeiro
579;Bicitopenia
580;Transtorno depressivo persistente
584;Raiva
586;Controle da pressão arterial
587;Câncer de mama estádio II
590;Bronquiectasia
592;Prurido
593;Câncer renal metastático
596;Imunodeficiência
598;Terapia de substituição eletrolítica
599;Transtorno de personalidade
600;Alucinação auditiva
601;Deficiência mental
602;Humor alterado
603;Escoliose
604;Estenose da coluna vertebral
606;Atraso no desenvolvimento
607;Lesão cerebral
609;Terapia de distúrbios do sono
610;Acne
612;Paranóia
613;Bursite
615;Miocardiopatia
618;Terapia medicamentosa imunossupressora
620;Fadiga
623;Discinesia
625;Infecção bacteriana
627;Câncer gástrico
628;Abscesso cerebral
629;Transtorno do espectro autista
630;Tremor
631;Gestão do ciclo menstrual
637;Coagulopatia
640;Transtorno por uso de drogas
642;Transtorno de personalidade borderline
645;Mania
646;Úlcera
647;Taquipneia
651;Mielopatia
653;Nervosismo
655;Doença de Addison
656;Labirintite
659;Disúria
660;Noctúria
661;Bacteremia estafilocócica
662;Flutter atrial
664;Insuficiência cardíaca crônica
667;Nível de consciência deprimido
668;Distúrbio gastrointestinal
671;Urosepsis
672;Infecção do trato respiratório inferior
675;Macroglobulinemia de Waldenstrom
677;Infecção de tecidos moles
679;Hiperemia ocular
681;Transtorno de ansiedade social
682;Glicemia aumentada
683;Luxação articular
684;Terapia antirretroviral
685;Diabetes gestacional
687;Celulite
690;Síndrome de abstinência de drogas
691;Transtorno cognitivo
694;Imunossupressão
695;Ataque de pânico
